version,id,userid,category,queryname,text,mp3Link,timestamp
easyVer,275,A5NE8TWS8ZV7B,Open question,movieopen Question 2,is there anything recent by Christopher Nolan,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A5NE8TWS8ZV7B.mp3,10/18/18 19:28
easyVer,276,A5NE8TWS8ZV7B,Open question,movieopen Question ,is there a movie that makes you feel like You Walk to Remember,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A5NE8TWS8ZV7B.mp3,10/18/18 19:28
easyVer,279,A5NE8TWS8ZV7B,genre,romance,I like to watch something romantic that's not too sappy,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A5NE8TWS8ZV7B.mp3,10/18/18 19:29
easyVer,280,A2C7TMRC2QHTIW,Open question,movieopen Question 2,I like watching horror movies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A2C7TMRC2QHTIW.mp3,10/18/18 19:29
easyVer,281,A5NE8TWS8ZV7B,region,France,what about you film that takes place in France,file:///Users/cathy/Projects/website1/results/voice3/easyVer+France+A5NE8TWS8ZV7B.mp3,10/18/18 19:29
easyVer,282,A2C7TMRC2QHTIW,Open question,movieopen Question ,I want to watch an action movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A2C7TMRC2QHTIW.mp3,10/18/18 19:29
easyVer,284,A5NE8TWS8ZV7B,director,Stephen Spielberg,I really like Steven Spielberg but I've already watched Jurassic Park and Transformers is there anything else by him,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Stephen Spielberg+A5NE8TWS8ZV7B.mp3,10/18/18 19:30
easyVer,286,A2C7TMRC2QHTIW,genre,Disney,you recommend a Disney movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Disney+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,288,A2C7TMRC2QHTIW,region,China,I want to watch a film from China,file:///Users/cathy/Projects/website1/results/voice3/easyVer+China+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,289,A2C7TMRC2QHTIW,time,lt2000,can you show me a movie from before year 2000,file:///Users/cathy/Projects/website1/results/voice3/easyVer+lt2000+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,292,A2C7TMRC2QHTIW,deep feature 1,time travel,can you show me a movie with time travel,file:///Users/cathy/Projects/website1/results/voice3/easyVer+time travel+A2C7TMRC2QHTIW.mp3,10/18/18 19:30
easyVer,293,A5NE8TWS8ZV7B,name,The Aviator,well I really like Leonardo DiCaprio in The Aviator is there something like that,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Aviator+A5NE8TWS8ZV7B.mp3,10/18/18 19:30
