version,id,userid,queryname,text,mp3Link,answertime
easyVer,59,A2B6WQG0A9CKXQ,2010s  Superhero,I want that Superhero Movie I think it was released in 2017,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A2B6WQG0A9CKXQ.mp3,
easyVer,70,A31X9CV1UWZV8Z,2010s  Superhero,I'm looking for superhero movies from the 2010s,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A31X9CV1UWZV8Z.mp3,
easyVer,83,AFU00NU09CFXE,2010s  Superhero,what movies are good that include just superheroes from 2010 up to today,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+AFU00NU09CFXE.mp3,
easyVer,97,A18V2X9VHAVWE7,2010s  Superhero,and I do believe he's a superhero,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A18V2X9VHAVWE7.mp3,
easyVer,106,A3UQM89QJ1V6M4,2010s  Superhero,find a movie that's in 2010 and is a superhero movie,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A3UQM89QJ1V6M4.mp3,
easyVer,119,AR8O1107OAW4V,2010s  Superhero,find movie set in the 2010s with a superhero in it,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+AR8O1107OAW4V.mp3,
easyVer,131,ACIZKR30ALBE5,2010s  Superhero,Alexa can you please find 2010's superhero movies,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+ACIZKR30ALBE5.mp3,
easyVer,142,A3IYDY7TO808Z3,2010s  Superhero,can you find me recent superhero movies,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A3IYDY7TO808Z3.mp3,
easyVer,155,A2KI7W45F6HRVY,2010s  Superhero,I'm looking for a superhero movie that was made in the 2010s,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A2KI7W45F6HRVY.mp3,
easyVer,168,A23FMTVKQEYCMW,2010s  Superhero,I would like to see a Superhero Movie from 2010,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A23FMTVKQEYCMW.mp3,
easyVer,177,A2E8RRV64NGTW4,2010s  Superhero,I want to watch superhero movies that were released in 2010 or later,file:///Users/cathy/Projects/website1/voice/easyVer+2010s  Superhero+A2E8RRV64NGTW4.mp3,
gameVer,158,A1E77HZO63E334,A great movie for Friday night.,can you help me find a movie on Friday night at a local theater,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+A1E77HZO63E334+0.mp3,0
gameVer,159,A1E77HZO63E334,A great movie for Friday night.,are there any good movies playing at the movie theater down the road tonight,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+A1E77HZO63E334+1.mp3,1
gameVer,160,A1E77HZO63E334,A great movie for Friday night.,what are the movie times for Friday night for a movie with good reviews,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+A1E77HZO63E334+2.mp3,2
gameVer,233,A96JK3576FXG5,A great movie for Friday night.,how to remove evil Saturday,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+A96JK3576FXG5+0.mp3,0
gameVer,234,A96JK3576FXG5,A great movie for Friday night.,adventurous movie on Monday,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+A96JK3576FXG5+1.mp3,1
gameVer,235,A96JK3576FXG5,A great movie for Friday night.,action movie on Saturday,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+A96JK3576FXG5+2.mp3,2
gameVer,284,AJB8Q0859LFAC,A great movie for Friday night.,,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+AJB8Q0859LFAC+0.mp3,0
gameVer,299,AJB8Q0859LFAC,A great movie for Friday night.,what movie would you recommend for Friday night,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+AJB8Q0859LFAC+2.mp3,2
gameVer,292,AJB8Q0859LFAC,A great movie for Friday night.,it's Friday night what movie should I pick,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+AJB8Q0859LFAC+0.mp3,0
gameVer,295,AJB8Q0859LFAC,A great movie for Friday night.,what movie should I pick for Friday night,file:///Users/cathy/Projects/website1/voice/gameVer+A great movie for Friday night.+AJB8Q0859LFAC+1.mp3,1
easyVer,65,A2B6WQG0A9CKXQ,Best  gt2000,what are the five best movies from the 2000,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A2B6WQG0A9CKXQ.mp3,
easyVer,74,A31X9CV1UWZV8Z,Best  gt2000,what are the best movies,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A31X9CV1UWZV8Z.mp3,
easyVer,86,AFU00NU09CFXE,Best  gt2000,what are the best movies from 2000 to today,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+AFU00NU09CFXE.mp3,
easyVer,109,A3UQM89QJ1V6M4,Best  gt2000,that's the best of before 2000,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A3UQM89QJ1V6M4.mp3,
easyVer,100,A18V2X9VHAVWE7,Best  gt2000,60 mm,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A18V2X9VHAVWE7.mp3,
easyVer,122,AR8O1107OAW4V,Best  gt2000,I want to see the best movie in the year 2000 or later,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+AR8O1107OAW4V.mp3,
easyVer,136,ACIZKR30ALBE5,Best  gt2000,Alexa can you please find the best films from point Alexa can you find the best films from 2000 until today,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+ACIZKR30ALBE5.mp3,
easyVer,146,A3IYDY7TO808Z3,Best  gt2000,can you find me the best movies for the last 10 years,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A3IYDY7TO808Z3.mp3,
easyVer,158,A2KI7W45F6HRVY,Best  gt2000,what is the best movie that was made after 2000,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A2KI7W45F6HRVY.mp3,
easyVer,174,A23FMTVKQEYCMW,Best  gt2000,what is the best movies from the year 2000,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A23FMTVKQEYCMW.mp3,
easyVer,182,A2E8RRV64NGTW4,Best  gt2000,I'm looking for the best film of the 2000s and on,file:///Users/cathy/Projects/website1/voice/easyVer+Best  gt2000+A2E8RRV64NGTW4.mp3,
gameVer,211,A8CCJBJC0HPSA,Best movies right now,what are the best movies out right now,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A8CCJBJC0HPSA+0.mp3,0
gameVer,222,A76YXASD7CTAH,Best movies right now,what's the top-ranked movie available for streaming on Rotten Tomatoes,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A76YXASD7CTAH+0.mp3,0
gameVer,223,A76YXASD7CTAH,Best movies right now,what current movies have really good rankings,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A76YXASD7CTAH+1.mp3,1
gameVer,224,A76YXASD7CTAH,Best movies right now,,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A76YXASD7CTAH+2.mp3,2
gameVer,213,A8CCJBJC0HPSA,Best movies right now,what are the highest rated movies on IMDb,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A8CCJBJC0HPSA+1.mp3,1
gameVer,215,A8CCJBJC0HPSA,Best movies right now,what movies had the highest ratings at the current time,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A8CCJBJC0HPSA+2.mp3,2
gameVer,278,A96JK3576FXG5,Best movies right now,dirty movies like big men,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A96JK3576FXG5+0.mp3,0
gameVer,288,A2RDAJ32TF20LF,Best movies right now,テニスアイドル元町のビーズ,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A2RDAJ32TF20LF+0.mp3,0
gameVer,290,A96JK3576FXG5,Best movies right now,like Fast and Furious,file:///Users/cathy/Projects/website1/voice/gameVer+Best movies right now+A96JK3576FXG5+2.mp3,2
